id	date	value
8n38w	2000-10-08	29.59
8n38w	2000-10-09	29.42
8n38w	2000-10-10	29.34
8n38w	2000-10-11	29.14
8n38w	2000-10-12	29.15
8n38w	2000-10-13	29.15
8n38w	2000-10-14	29.26
8n38w	2000-10-15	29.21
8n38w	2000-10-16	29.12
8n38w	2000-10-17	29.06
8n38w	2000-10-18	29.25
8n38w	2000-10-19	29.21
8n38w	2000-10-20	29.00
8n38w	2000-10-21	29.15
8n38w	2000-10-22	29.27
8n38w	2000-10-23	29.17
8n38w	2000-10-24	29.04
8n38w	2000-10-25	28.94
8n38w	2000-10-26	28.86
8n38w	2000-10-27	28.8
8n38w	2000-10-28	28.75
8n38w	2000-10-29	28.75
8n38w	2000-10-30	28.74
8n38w	2000-10-31	28.64
8n38w	2000-11-01	28.49
8n38w	2000-11-02	28.35
8n38w	2000-11-03	28.53
8n38w	2000-11-04	28.41
8n38w	2000-11-05	28.4
8n38w	2000-11-06	28.26
8n38w	2000-11-07	28.03
8n38w	2000-11-08	27.98
8n38w	2000-11-09	28.03
8n38w	2000-11-10	28.1
8n38w	2000-11-11	28.05
8n38w	2000-11-12	27.9
8n38w	2000-11-13	27.92
8n38w	2000-11-14	27.84
8n38w	2000-11-15	27.76
8n38w	2000-11-16	27.57
8n38w	2000-11-17	27.69
8n38w	2000-11-18	27.69
8n38w	2000-11-19	27.74
8n38w	2000-11-20	27.76
8n38w	2000-11-21	27.8
8n38w	2000-11-22	27.66
8n38w	2000-11-23	27.46
8n38w	2000-11-24	27.19
8n38w	2000-11-25	26.94
8n38w	2000-11-26	26.98
8n38w	2000-11-27	26.95
8n38w	2000-11-28	26.79
8n38w	2000-11-29	26.74
8n38w	2000-11-30	26.75
8n38w	2000-12-01	26.71
8n38w	2000-12-02	26.49
8n38w	2000-12-03	26.48
8n38w	2000-12-04	26.43
8n38w	2000-12-05	26.41
8n38w	2000-12-06	26.4
8n38w	2000-12-07	26.41
8n38w	2000-12-08	26.43
8n38w	2000-12-09	26.37
8n38w	2000-12-10	26.38
8n38w	2000-12-11	26.41
8n38w	2000-12-12	26.41
8n38w	2000-12-13	26.44
8n38w	2000-12-14	26.42
8n38w	2000-12-15	26.37
8n38w	2000-12-16	26.33
8n38w	2000-12-17	26.29
8n38w	2000-12-18	26.13
8n38w	2000-12-19	25.98
8n38w	2000-12-20	26.06
8n38w	2000-12-21	26.24
8n38w	2000-12-22	26.32
8n38w	2000-12-23	26.29
8n38w	2000-12-24	26.27
8n38w	2000-12-25	26.22
8n38w	2000-12-26	26.16
8n38w	2000-12-27	26.17
8n38w	2000-12-28	26.25
8n38w	2000-12-29	26.29
8n38w	2000-12-30	26.21
8n38w	2000-12-31	26.16
8n38w	2001-01-01	26.17
8n38w	2001-01-02	26.21
8n38w	2001-01-03	26.3
8n38w	2001-01-04	26.32
8n38w	2001-01-05	25.99
8n38w	2001-01-06	25.97
8n38w	2001-01-07	25.94
8n38w	2001-01-08	26.05
8n38w	2001-01-09	26.05
8n38w	2001-01-10	25.9
8n38w	2001-01-11	26.1
8n38w	2001-01-12	26.02
8n38w	2001-01-13	25.82
8n38w	2001-01-14	25.72
8n38w	2001-01-15	25.61
8n38w	2001-01-16	25.75
8n38w	2001-01-17	25.8
8n38w	2001-01-18	26.16
8n38w	2001-01-19	26.34
8n38w	2001-01-20	26.07
8n38w	2001-01-21	25.9
8n38w	2001-01-22	26.43
8n38w	2001-01-23	26.52
8n38w	2001-01-24	26.6
8n38w	2001-01-25	26.71
8n38w	2001-01-26	26.71
8n38w	2001-01-27	26.69
8n38w	2001-01-28	26.69
8n38w	2001-01-29	26.68
8n38w	2001-01-30	26.67
8n38w	2001-01-31	26.65
8n38w	2001-02-01	26.63
8n38w	2001-02-02	26.61
8n38w	2001-02-03	26.61
8n38w	2001-02-04	26.63
8n38w	2001-02-05	26.64
8n38w	2001-02-06	26.6
8n38w	2001-02-07	26.58
8n38w	2001-02-08	26.61
8n38w	2001-02-09	26.59
8n38w	2001-02-10	26.6
8n38w	2001-02-11	26.56
8n38w	2001-02-12	26.48
8n38w	2001-02-13	26.38
8n38w	2001-02-14	26.46
8n38w	2001-02-15	26.48
8n38w	2001-02-16	26.49
8n38w	2001-02-17	26.5
8n38w	2001-02-18	26.48
8n38w	2001-02-19	26.54
8n38w	2001-02-20	26.52
8n38w	2001-02-21	26.5
8n38w	2001-02-22	26.48
8n38w	2001-02-23	26.44
8n38w	2001-02-24	26.51
8n38w	2001-02-25	26.53
8n38w	2001-02-26	26.56
8n38w	2001-02-27	26.64
8n38w	2001-02-28	26.58
8n38w	2001-03-01	26.64
8n38w	2001-03-02	26.67
8n38w	2001-03-03	26.66
8n38w	2001-03-04	26.74
8n38w	2001-03-05	26.82
8n38w	2001-03-06	26.81
8n38w	2001-03-07	26.69
8n38w	2001-03-08	26.58
8n38w	2001-03-09	26.59
8n38w	2001-03-10	26.58
8n38w	2001-03-11	26.53
8n38w	2001-03-12	26.37
8n38w	2001-03-13	26.34
8n38w	2001-03-14	26.34
8n38w	2001-03-15	26.25
8n38w	2001-03-16	26.26
8n38w	2001-03-17	26.37
8n38w	2001-03-18	26.36
8n38w	2001-03-19	26.35
8n38w	2001-03-20	26.41
8n38w	2001-03-21	26.46
8n38w	2001-03-22	26.46
8n38w	2001-03-23	26.37
8n38w	2001-03-24	26.41
8n38w	2001-03-25	26.5
8n38w	2001-03-26	26.49
8n38w	2001-03-27	26.46
8n38w	2001-03-28	26.47
8n38w	2001-03-29	26.35
8n38w	2001-03-30	26.21
8n38w	2001-03-31	26.05
8n38w	2001-04-01	25.95
8n38w	2001-04-02	26.09
8n38w	2001-04-03	26.2
8n38w	2001-04-04	26.15
8n38w	2001-04-05	26.16
8n38w	2001-04-06	26.22
8n38w	2001-04-07	26.2
8n38w	2001-04-08	26.04
8n38w	2001-04-09	26.07
8n38w	2001-04-10	26.05
8n38w	2001-04-11	26.12
8n38w	2001-04-12	26.21
8n38w	2001-04-13	26.2
8n38w	2001-04-14	26.17
8n38w	2001-04-15	26.14
8n38w	2001-04-16	26.23
8n38w	2001-04-17	26.28
8n38w	2001-04-18	26.49
8n38w	2001-04-19	26.69
